_id	infinitif	participePasse	participePresent	auxiliaire	formePronominale	present_1	present_2	present_3	present_4	present_5	present_6	imparfait_1	imparfait_2	imparfait_3	imparfait_4	imparfait_5	imparfait_6	passeSimple_1	passeSimple_2	passeSimple_3	passeSimple_4	passeSimple_5	passeSimple_6	futurSimple_1	futurSimple_2	futurSimple_3	futurSimple_4	futurSimple_5	futurSimple_6	passeCompose_1	passeCompose_2	passeCompose_3	passeCompose_4	passeCompose_5	passeCompose_6	plusQueParfait_1	plusQueParfait_2	plusQueParfait_3	plusQueParfait_4	plusQueParfait_5	plusQueParfait_6	passeAnterieur_1	passeAnterieur_2	passeAnterieur_3	passeAnterieur_4	passeAnterieur_5	passeAnterieur_6	futurAnterieur_1	futurAnterieur_2	futurAnterieur_3	futurAnterieur_4	futurAnterieur_5	futurAnterieur_6	subjonctifPresent_1	subjonctifPresent_2	subjonctifPresent_3	subjonctifPresent_4	subjonctifPresent_5	subjonctifPresent_6	subjonctifImparfait_1	subjonctifImparfait_2	subjonctifImparfait_3	subjonctifImparfait_4	subjonctifImparfait_5	subjonctifImparfait_6	subjonctifPasse_1	subjonctifPasse_2	subjonctifPasse_3	subjonctifPasse_4	subjonctifPasse_5	subjonctifPasse_6	subjonctifPlusQueParfait_1	subjonctifPlusQueParfait_2	subjonctifPlusQueParfait_3	subjonctifPlusQueParfait_4	subjonctifPlusQueParfait_5	subjonctifPlusQueParfait_6	conditionnelPresent_1	conditionnelPresent_2	conditionnelPresent_3	conditionnelPresent_4	conditionnelPresent_5	conditionnelPresent_6	conditionnelPasse_1	conditionnelPasse_2	conditionnelPasse_3	conditionnelPasse_4	conditionnelPasse_5	conditionnelPasse_6	conditionnelPasseII_1	conditionnelPasseII_2	conditionnelPasseII_3	conditionnelPasseII_4	conditionnelPasseII_5	conditionnelPasseII_6	imperatifPasse_1	imperatifPasse_2	imperatifPasse_3	imperatifPasse_4	imperatifPasse_5	imperatifPasse_6
118	perdre	perdu	perdant	avoir	se perdre	perds	perds	perd	perdons	perdez	perdent	perdais	perdais	perdait	perdions	perdiez	perdaient	perdis	perdis	perdit	perdîmes	perdîtes	perdirent	perdrai	perdras	perdra	perdrons	perdrez	perdront	ai perdu	as perdu	a perdu	avons perdu	avez perdu	ont perdu	avais perdu	avais perdu	avait perdu	avions perdu	aviez perdu	avaient perdu	eus perdu	eus perdu	eut perdu	eûmes perdu	eûtes perdu	eurent perdu	aurai perdu	auras perdu	aura perdu	aurons perdu	aurez perdu	auront perdu	perde	perdes	perde	perdions	perdiez	perdent	perdisse	perdisses	perdît	perdissions	perdissiez	perdissent	aie perdu	aies perdu	ait perdu	ayons perdu	ayez perdu	aient perdu	eusse perdu	eusses perdu	eût perdu	eussions perdu	eussiez perdu	eussent perdu	perdrais	perdrais	perdrait	perdrions	perdriez	perdraient	aurais perdu	aurais perdu	aurait perdu	aurions perdu	auriez perdu	auraient perdu	eusse perdu	eusses perdu	eût perdu	eussions perdu	eussiez perdu	eussent perdu		aie perdu !		ayons perdu !	ayez perdu !	
119	permettre	permis	permettant	avoir	se permettre	permets	permets	permet	permettons	permettez	permettent	permettais	permettais	permettait	permettions	permettiez	permettaient	permis	permis	permit	permîmes	permîtes	permirent	permettrai	permettras	permettra	permettrons	permettrez	permettront	ai permis	as permis	a permis	avons permis	avez permis	ont permis	avais permis	avais permis	avait permis	avions permis	aviez permis	avaient permis	eus permis	eus permis	eut permis	eûmes permis	eûtes permis	eurent permis	aurai permis	auras permis	aura permis	aurons permis	aurez permis	auront permis	permette	permettes	permette	permettions	permettiez	permettent	permisse	permisses	permît	permissions	permissiez	permissent	aie permis	aies permis	ait permis	ayons permis	ayez permis	aient permis	eusse permis	eusses permis	eût permis	eussions permis	eussiez permis	eussent permis	permettrais	permettrais	permettrait	permettrions	permettriez	permettraient	aurais permis	aurais permis	aurait permis	aurions permis	auriez permis	auraient permis	eusse permis	eusses permis	eût permis	eussions permis	eussiez permis	eussent permis		aie permis !		ayons permis !	ayez permis !	
120	peser	pesé	pesant	avoir	se peser	pèse	pèses	pèse	pesons	pesez	pèsent	pesais	pesais	pesait	pesions	pesiez	pesaient	pesai	pesas	pesa	pesâmes	pesâtes	pesèrent	pèserai	pèseras	pèsera	pèserons	pèserez	pèseront	ai pesé	as pesé	a pesé	avons pesé	avez pesé	ont pesé	avais pesé	avais pesé	avait pesé	avions pesé	aviez pesé	avaient pesé	eus pesé	eus pesé	eut pesé	eûmes pesé	eûtes pesé	eurent pesé	aurai pesé	auras pesé	aura pesé	aurons pesé	aurez pesé	auront pesé	pèse	pèses	pèse	pesions	pesiez	pèsent	pesasse	pesasses	pesât	pesassions	pesassiez	pesassent	aie pesé	aies pesé	ait pesé	ayons pesé	ayez pesé	aient pesé	eusse pesé	eusses pesé	eût pesé	eussions pesé	eussiez pesé	eussent pesé	pèserais	pèserais	pèserait	pèserions	pèseriez	pèseraient	aurais pesé	aurais pesé	aurait pesé	aurions pesé	auriez pesé	auraient pesé	eusse pesé	eusses pesé	eût pesé	eussions pesé	eussiez pesé	eussent pesé		aie pesé !		ayons pesé !	ayez pesé !	
121	placer	placé	plaçant	avoir	se placer	place	places	place	plaçons	placez	placent	plaçais	plaçais	plaçait	placions	placiez	plaçaient	plaçai	plaças	plaça	plaçâmes	plaçâtes	placèrent	placerai	placeras	placera	placerons	placerez	placeront	ai placé	as placé	a placé	avons placé	avez placé	ont placé	avais placé	avais placé	avait placé	avions placé	aviez placé	avaient placé	eus placé	eus placé	eut placé	eûmes placé	eûtes placé	eurent placé	aurai placé	auras placé	aura placé	aurons placé	aurez placé	auront placé	place	places	place	placions	placiez	placent	plaçasse	plaçasses	plaçât	plaçassions	plaçassiez	plaçassent	aie placé	aies placé	ait placé	ayons placé	ayez placé	aient placé	eusse placé	eusses placé	eût placé	eussions placé	eussiez placé	eussent placé	placerais	placerais	placerait	placerions	placeriez	placeraient	aurais placé	aurais placé	aurait placé	aurions placé	auriez placé	auraient placé	eusse placé	eusses placé	eût placé	eussions placé	eussiez placé	eussent placé		aie placé !		ayons placé !	ayez placé !	
122	pleurer	pleuré	pleurant	avoir		pleure	pleures	pleure	pleurons	pleurez	pleurent	pleurais	pleurais	pleurait	pleurions	pleuriez	pleuraient	pleurai	pleuras	pleura	pleurâmes	pleurâtes	pleurèrent	pleurerai	pleureras	pleurera	pleurerons	pleurerez	pleureront	ai pleuré	as pleuré	a pleuré	avons pleuré	avez pleuré	ont pleuré	avais pleuré	avais pleuré	avait pleuré	avions pleuré	aviez pleuré	avaient pleuré	eus pleuré	eus pleuré	eut pleuré	eûmes pleuré	eûtes pleuré	eurent pleuré	aurai pleuré	auras pleuré	aura pleuré	aurons pleuré	aurez pleuré	auront pleuré	pleure	pleures	pleure	pleurions	pleuriez	pleurent	pleurasse	pleurasses	pleurât	pleurassions	pleurassiez	pleurassent	aie pleuré	aies pleuré	ait pleuré	ayons pleuré	ayez pleuré	aient pleuré	eusse pleuré	eusses pleuré	eût pleuré	eussions pleuré	eussiez pleuré	eussent pleuré	pleurerais	pleurerais	pleurerait	pleurerions	pleureriez	pleureraient	aurais pleuré	aurais pleuré	aurait pleuré	aurions pleuré	auriez pleuré	auraient pleuré	eusse pleuré	eusses pleuré	eût pleuré	eussions pleuré	eussiez pleuré	eussent pleuré		aie pleuré !		ayons pleuré !	ayez pleuré !	
123	porter	porté	portant	avoir	se porter	porte	portes	porte	portons	portez	portent	portais	portais	portait	portions	portiez	portaient	portai	portas	porta	portâmes	portâtes	portèrent	porterai	porteras	portera	porterons	porterez	porteront	ai porté	as porté	a porté	avons porté	avez porté	ont porté	avais porté	avais porté	avait porté	avions porté	aviez porté	avaient porté	eus porté	eus porté	eut porté	eûmes porté	eûtes porté	eurent porté	aurai porté	auras porté	aura porté	aurons porté	aurez porté	auront porté	porte	portes	porte	portions	portiez	portent	portasse	portasses	portât	portassions	portassiez	portassent	aie porté	aies porté	ait porté	ayons porté	ayez porté	aient porté	eusse porté	eusses porté	eût porté	eussions porté	eussiez porté	eussent porté	porterais	porterais	porterait	porterions	porteriez	porteraient	aurais porté	aurais porté	aurait porté	aurions porté	auriez porté	auraient porté	eusse porté	eusses porté	eût porté	eussions porté	eussiez porté	eussent porté		aie porté !		ayons porté !	ayez porté !	
124	poser	posé	posant	avoir	se poser	pose	poses	pose	posons	posez	posent	posais	posais	posait	posions	posiez	posaient	posai	posas	posa	posâmes	posâtes	posèrent	poserai	poseras	posera	poserons	poserez	poseront	ai posé	as posé	a posé	avons posé	avez posé	ont posé	avais posé	avais posé	avait posé	avions posé	aviez posé	avaient posé	eus posé	eus posé	eut posé	eûmes posé	eûtes posé	eurent posé	aurai posé	auras posé	aura posé	aurons posé	aurez posé	auront posé	pose	poses	pose	posions	posiez	posent	posasse	posasses	posât	posassions	posassiez	posassent	aie posé	aies posé	ait posé	ayons posé	ayez posé	aient posé	eusse posé	eusses posé	eût posé	eussions posé	eussiez posé	eussent posé	poserais	poserais	poserait	poserions	poseriez	poseraient	aurais posé	aurais posé	aurait posé	aurions posé	auriez posé	auraient posé	eusse posé	eusses posé	eût posé	eussions posé	eussiez posé	eussent posé		aie posé !		ayons posé !	ayez posé !	
125	pousser	poussé	poussant	avoir	se pousser	pousse	pousses	pousse	poussons	poussez	poussent	poussais	poussais	poussait	poussions	poussiez	poussaient	poussai	poussas	poussa	poussâmes	poussâtes	poussèrent	pousserai	pousseras	poussera	pousserons	pousserez	pousseront	ai poussé	as poussé	a poussé	avons poussé	avez poussé	ont poussé	avais poussé	avais poussé	avait poussé	avions poussé	aviez poussé	avaient poussé	eus poussé	eus poussé	eut poussé	eûmes poussé	eûtes poussé	eurent poussé	aurai poussé	auras poussé	aura poussé	aurons poussé	aurez poussé	auront poussé	pousse	pousses	pousse	poussions	poussiez	poussent	poussasse	poussasses	poussât	poussassions	poussassiez	poussassent	aie poussé	aies poussé	ait poussé	ayons poussé	ayez poussé	aient poussé	eusse poussé	eusses poussé	eût poussé	eussions poussé	eussiez poussé	eussent poussé	pousserais	pousserais	pousserait	pousserions	pousseriez	pousseraient	aurais poussé	aurais poussé	aurait poussé	aurions poussé	auriez poussé	auraient poussé	eusse poussé	eusses poussé	eût poussé	eussions poussé	eussiez poussé	eussent poussé		aie poussé !		ayons poussé !	ayez poussé !	
126	pouvoir	pu	pouvant	avoir	se pouvoir	peux, puis	peux	peut	pouvons	pouvez	peuvent	pouvais	pouvais	pouvait	pouvions	pouviez	pouvaient	pus	pus	put	pûmes	pûtes	purent	pourrai	pourras	pourra	pourrons	pourrez	pourront	ai pu	as pu	a pu	avons pu	avez pu	ont pu	avais pu	avais pu	avait pu	avions pu	aviez pu	avaient pu	eus pu	eus pu	eut pu	eûmes pu	eûtes pu	eurent pu	aurai pu	auras pu	aura pu	aurons pu	aurez pu	auront pu	puisse	puisses	puisse	puissions	puissiez	puissent	pusse	pusses	pût	pussions	pussiez	pussent	aie pu	aies pu	ait pu	ayons pu	ayez pu	aient pu	eusse pu	eusses pu	eût pu	eussions pu	eussiez pu	eussent pu	pourrais	pourrais	pourrait	pourrions	pourriez	pourraient	aurais pu	aurais pu	aurait pu	aurions pu	auriez pu	auraient pu	eusse pu	eusses pu	eût pu	eussions pu	eussiez pu	eussent pu						
127	préférer	préféré	préférant	avoir	se préférer	préfère	préfères	préfère	préférons	préférez	préfèrent	préférais	préférais	préférait	préférions	préfériez	préféraient	préférai	préféras	préféra	préférâmes	préférâtes	préférèrent	préférerai	préféreras	préférera	préférerons	préférerez	préféreront	ai préféré	as préféré	a préféré	avons préféré	avez préféré	ont préféré	avais préféré	avais préféré	avait préféré	avions préféré	aviez préféré	avaient préféré	eus préféré	eus préféré	eut préféré	eûmes préféré	eûtes préféré	eurent préféré	aurai préféré	auras préféré	aura préféré	aurons préféré	aurez préféré	auront préféré	préfère	préfères	préfère	préférions	préfériez	préfèrent	préférasse	préférasses	préférât	préférassions	préférassiez	préférassent	aie préféré	aies préféré	ait préféré	ayons préféré	ayez préféré	aient préféré	eusse préféré	eusses préféré	eût préféré	eussions préféré	eussiez préféré	eussent préféré	préférerais	préférerais	préférerait	préférerions	préféreriez	préféreraient	aurais préféré	aurais préféré	aurait préféré	aurions préféré	auriez préféré	auraient préféré	eusse préféré	eusses préféré	eût préféré	eussions préféré	eussiez préféré	eussent préféré		aie préféré !		ayons préféré !	ayez préféré !	
128	prendre	pris	prenant	avoir	se prendre	prends	prends	prend	prenons	prenez	prennent	prenais	prenais	prenait	prenions	preniez	prenaient	pris	pris	prit	prîmes	prîtes	prirent	prendrai	prendras	prendra	prendrons	prendrez	prendront	ai pris	as pris	a pris	avons pris	avez pris	ont pris	avais pris	avais pris	avait pris	avions pris	aviez pris	avaient pris	eus pris	eus pris	eut pris	eûmes pris	eûtes pris	eurent pris	aurai pris	auras pris	aura pris	aurons pris	aurez pris	auront pris	prenne	prennes	prenne	prenions	preniez	prennent	prisse	prisses	prît	prissions	prissiez	prissent	aie pris	aies pris	ait pris	ayons pris	ayez pris	aient pris	eusse pris	eusses pris	eût pris	eussions pris	eussiez pris	eussent pris	prendrais	prendrais	prendrait	prendrions	prendriez	prendraient	aurais pris	aurais pris	aurait pris	aurions pris	auriez pris	auraient pris	eusse pris	eusses pris	eût pris	eussions pris	eussiez pris	eussent pris		aie pris !		ayons pris !	ayez pris !	
129	préparer	préparé	préparant	avoir	se préparer	prépare	prépares	prépare	préparons	préparez	préparent	préparais	préparais	préparait	préparions	prépariez	préparaient	préparai	préparas	prépara	préparâmes	préparâtes	préparèrent	préparerai	prépareras	préparera	préparerons	préparerez	prépareront	ai préparé	as préparé	a préparé	avons préparé	avez préparé	ont préparé	avais préparé	avais préparé	avait préparé	avions préparé	aviez préparé	avaient préparé	eus préparé	eus préparé	eut préparé	eûmes préparé	eûtes préparé	eurent préparé	aurai préparé	auras préparé	aura préparé	aurons préparé	aurez préparé	auront préparé	prépare	prépares	prépare	préparions	prépariez	préparent	préparasse	préparasses	préparât	préparassions	préparassiez	préparassent	aie préparé	aies préparé	ait préparé	ayons préparé	ayez préparé	aient préparé	eusse préparé	eusses préparé	eût préparé	eussions préparé	eussiez préparé	eussent préparé	préparerais	préparerais	préparerait	préparerions	prépareriez	prépareraient	aurais préparé	aurais préparé	aurait préparé	aurions préparé	auriez préparé	auraient préparé	eusse préparé	eusses préparé	eût préparé	eussions préparé	eussiez préparé	eussent préparé		aie préparé !		ayons préparé !	ayez préparé !	
130	prêter	prêté	prêtant	avoir	se prêter	prête	prêtes	prête	prêtons	prêtez	prêtent	prêtais	prêtais	prêtait	prêtions	prêtiez	prêtaient	prêtai	prêtas	prêta	prêtâmes	prêtâtes	prêtèrent	prêterai	prêteras	prêtera	prêterons	prêterez	prêteront	ai prêté	as prêté	a prêté	avons prêté	avez prêté	ont prêté	avais prêté	avais prêté	avait prêté	avions prêté	aviez prêté	avaient prêté	eus prêté	eus prêté	eut prêté	eûmes prêté	eûtes prêté	eurent prêté	aurai prêté	auras prêté	aura prêté	aurons prêté	aurez prêté	auront prêté	prête	prêtes	prête	prêtions	prêtiez	prêtent	prêtasse	prêtasses	prêtât	prêtassions	prêtassiez	prêtassent	aie prêté	aies prêté	ait prêté	ayons prêté	ayez prêté	aient prêté	eusse prêté	eusses prêté	eût prêté	eussions prêté	eussiez prêté	eussent prêté	prêterais	prêterais	prêterait	prêterions	prêteriez	prêteraient	aurais prêté	aurais prêté	aurait prêté	aurions prêté	auriez prêté	auraient prêté	eusse prêté	eusses prêté	eût prêté	eussions prêté	eussiez prêté	eussent prêté		aie prêté !		ayons prêté !	ayez prêté !	
131	profiter	profité	profitant	avoir		profite	profites	profite	profitons	profitez	profitent	profitais	profitais	profitait	profitions	profitiez	profitaient	profitai	profitas	profita	profitâmes	profitâtes	profitèrent	profiterai	profiteras	profitera	profiterons	profiterez	profiteront	ai profité	as profité	a profité	avons profité	avez profité	ont profité	avais profité	avais profité	avait profité	avions profité	aviez profité	avaient profité	eus profité	eus profité	eut profité	eûmes profité	eûtes profité	eurent profité	aurai profité	auras profité	aura profité	aurons profité	aurez profité	auront profité	profite	profites	profite	profitions	profitiez	profitent	profitasse	profitasses	profitât	profitassions	profitassiez	profitassent	aie profité	aies profité	ait profité	ayons profité	ayez profité	aient profité	eusse profité	eusses profité	eût profité	eussions profité	eussiez profité	eussent profité	profiterais	profiterais	profiterait	profiterions	profiteriez	profiteraient	aurais profité	aurais profité	aurait profité	aurions profité	auriez profité	auraient profité	eusse profité	eusses profité	eût profité	eussions profité	eussiez profité	eussent profité		aie profité !		ayons profité !	ayez profité !	
132	proposer	proposé	proposant	avoir	se proposer	propose	proposes	propose	proposons	proposez	proposent	proposais	proposais	proposait	proposions	proposiez	proposaient	proposai	proposas	proposa	proposâmes	proposâtes	proposèrent	proposerai	proposeras	proposera	proposerons	proposerez	proposeront	ai proposé	as proposé	a proposé	avons proposé	avez proposé	ont proposé	avais proposé	avais proposé	avait proposé	avions proposé	aviez proposé	avaient proposé	eus proposé	eus proposé	eut proposé	eûmes proposé	eûtes proposé	eurent proposé	aurai proposé	auras proposé	aura proposé	aurons proposé	aurez proposé	auront proposé	propose	proposes	propose	proposions	proposiez	proposent	proposasse	proposasses	proposât	proposassions	proposassiez	proposassent	aie proposé	aies proposé	ait proposé	ayons proposé	ayez proposé	aient proposé	eusse proposé	eusses proposé	eût proposé	eussions proposé	eussiez proposé	eussent proposé	proposerais	proposerais	proposerait	proposerions	proposeriez	proposeraient	aurais proposé	aurais proposé	aurait proposé	aurions proposé	auriez proposé	auraient proposé	eusse proposé	eusses proposé	eût proposé	eussions proposé	eussiez proposé	eussent proposé		aie proposé !		ayons proposé !	ayez proposé !	
133	raconter	raconté	racontant	avoir	se raconter	raconte	racontes	raconte	racontons	racontez	racontent	racontais	racontais	racontait	racontions	racontiez	racontaient	racontai	racontas	raconta	racontâmes	racontâtes	racontèrent	raconterai	raconteras	racontera	raconterons	raconterez	raconteront	ai raconté	as raconté	a raconté	avons raconté	avez raconté	ont raconté	avais raconté	avais raconté	avait raconté	avions raconté	aviez raconté	avaient raconté	eus raconté	eus raconté	eut raconté	eûmes raconté	eûtes raconté	eurent raconté	aurai raconté	auras raconté	aura raconté	aurons raconté	aurez raconté	auront raconté	raconte	racontes	raconte	racontions	racontiez	racontent	racontasse	racontasses	racontât	racontassions	racontassiez	racontassent	aie raconté	aies raconté	ait raconté	ayons raconté	ayez raconté	aient raconté	eusse raconté	eusses raconté	eût raconté	eussions raconté	eussiez raconté	eussent raconté	raconterais	raconterais	raconterait	raconterions	raconteriez	raconteraient	aurais raconté	aurais raconté	aurait raconté	aurions raconté	auriez raconté	auraient raconté	eusse raconté	eusses raconté	eût raconté	eussions raconté	eussiez raconté	eussent raconté		aie raconté !		ayons raconté !	ayez raconté !	
134	ranger	rangé	rangant	avoir		range	ranges	range	rangons	rangez	rangent	rangais	rangais	rangait	rangions	rangiez	rangaient	rangai	rangas	ranga	rangâmes	rangâtes	rangèrent	rangerai	rangeras	rangera	rangerons	rangerez	rangeront	ai rangé	as rangé	a rangé	avons rangé	avez rangé	ont rangé	avais rangé	avais rangé	avait rangé	avions rangé	aviez rangé	avaient rangé	eus rangé	eus rangé	eut rangé	eûmes rangé	eûtes rangé	eurent rangé	aurai rangé	auras rangé	aura rangé	aurons rangé	aurez rangé	auront rangé	range	ranges	range	rangions	rangiez	rangent							aie rangé	aies rangé	ait rangé	ayons rangé	ayez rangé	aient rangé	eusse rangé	eusses rangé	eût rangé	eussions rangé	eussiez rangé	eussent rangé	rangerais	rangerais	rangerait	rangerions	rangeriez	rangeraient	aurais rangé	aurais rangé	aurait rangé	aurions rangé	auriez rangé	auraient rangé	eusse rangé	eusses rangé	eût rangé	eussions rangé	eussiez rangé	eussent rangé						
135	recevoir	reçu	recevant	avoir	se recevoir	reçois	reçois	reçoit	recevons	recevez	reçoivent	recevais	recevais	recevait	recevions	receviez	recevaient	reçus	reçus	reçut	reçûmes	reçûtes	reçurent	recevrai	recevras	recevra	recevrons	recevrez	recevront	ai reçu	as reçu	a reçu	avons reçu	avez reçu	ont reçu	avais reçu	avais reçu	avait reçu	avions reçu	aviez reçu	avaient reçu	eus reçu	eus reçu	eut reçu	eûmes reçu	eûtes reçu	eurent reçu	aurai reçu	auras reçu	aura reçu	aurons reçu	aurez reçu	auront reçu	reçoive	reçoives	reçoive	recevions	receviez	reçoivent	reçusse	reçusses	reçût	reçussions	reçussiez	reçussent	aie reçu	aies reçu	ait reçu	ayons reçu	ayez reçu	aient reçu	eusse reçu	eusses reçu	eût reçu	eussions reçu	eussiez reçu	eussent reçu	recevrais	recevrais	recevrait	recevrions	recevriez	recevraient	aurais reçu	aurais reçu	aurait reçu	aurions reçu	auriez reçu	auraient reçu	eusse reçu	eusses reçu	eût reçu	eussions reçu	eussiez reçu	eussent reçu		aie reçu !		ayons reçu !	ayez reçu !	
136	recommander	recommandé	recommandant	avoir		recommande	recommandes	recommande	recommandons	recommandez	recommandent	recommandais	recommandais	recommandait	recommandions	recommandiez	recommandaient	recommandai	recommandas	recommanda	recommandâmes	recommandâtes	recommandèrent	recommanderai	recommanderas	recommandera	recommanderons	recommanderez	recommanderont	ai recommandé	as recommandé	a recommandé	avons recommandé	avez recommandé	ont recommandé	avais recommandé	avais recommandé	avait recommandé	avions recommandé	aviez recommandé	avaient recommandé	eus recommandé	eus recommandé	eut recommandé	eûmes recommandé	eûtes recommandé	eurent recommandé	aurai recommandé	auras recommandé	aura recommandé	aurons recommandé	aurez recommandé	auront recommandé	recommande	recommandes	recommande	recommandions	recommandiez	recommandent							aie recommandé	aies recommandé	ait recommandé	ayons recommandé	ayez recommandé	aient recommandé	eusse recommandé	eusses recommandé	eût recommandé	eussions recommandé	eussiez recommandé	eussent recommandé	recommanderais	recommanderais	recommanderait	recommanderions	recommanderiez	recommanderaient	aurais recommandé	aurais recommandé	aurait recommandé	aurions recommandé	auriez recommandé	auraient recommandé	eusse recommandé	eusses recommandé	eût recommandé	eussions recommandé	eussiez recommandé	eussent recommandé						
137	réfléchir	réfléchi	réfléchissant	avoir	se réfléchir	réfléchis	réfléchis	réfléchit	réfléchissons	réfléchissez	réfléchissent	réfléchissais	réfléchissais	réfléchissait	réfléchissions	réfléchissiez	réfléchissaient	réfléchis	réfléchis	réfléchit	réfléchîmes	réfléchîtes	réfléchirent	réfléchirai	réfléchiras	réfléchira	réfléchirons	réfléchirez	réfléchiront	ai réfléchi	as réfléchi	a réfléchi	avons réfléchi	avez réfléchi	ont réfléchi	avais réfléchi	avais réfléchi	avait réfléchi	avions réfléchi	aviez réfléchi	avaient réfléchi	eus réfléchi	eus réfléchi	eut réfléchi	eûmes réfléchi	eûtes réfléchi	eurent réfléchi	aurai réfléchi	auras réfléchi	aura réfléchi	aurons réfléchi	aurez réfléchi	auront réfléchi	réfléchisse	réfléchisses	réfléchisse	réfléchissions	réfléchissiez	réfléchissent	réfléchisse	réfléchisses	réfléchît	réfléchissions	réfléchissiez	réfléchissent	aie réfléchi	aies réfléchi	ait réfléchi	ayons réfléchi	ayez réfléchi	aient réfléchi	eusse réfléchi	eusses réfléchi	eût réfléchi	eussions réfléchi	eussiez réfléchi	eussent réfléchi	réfléchirais	réfléchirais	réfléchirait	réfléchirions	réfléchiriez	réfléchiraient	aurais réfléchi	aurais réfléchi	aurait réfléchi	aurions réfléchi	auriez réfléchi	auraient réfléchi	eusse réfléchi	eusses réfléchi	eût réfléchi	eussions réfléchi	eussiez réfléchi	eussent réfléchi		aie réfléchi !		ayons réfléchi !	ayez réfléchi !	
